"Character";"Gender";"Cause of Death";"Death Category";"Killer";"On Screen";"Movie";"C8-T"
"Barry ";"M";"Knifed in stomach ";"Stabbed";"Pamela Voorhees ";"Yes ";"Part I";""
"Claudette ";"F";"Knifed ";"Stabbed";"Pamela Voorhees ";"No ";"Part I";""
"Annie ";"F";"Throat slit with hunting knife ";"Stabbed";"Pamela Voorhees ";"Yes ";"Part I";""
"Ned ";"M";"Throat slit (off screen) ";"Stabbed";"Pamela Voorhees ";"No ";"Part I";""
"Jack ";"M";"Impaled through neck with arrow through bed ";"Stabbed";"Pamela Voorhees ";"Yes ";"Part I";""
"Marcie ";"F";"Hit in face with axe ";"Stabbed";"Pamela Voorhees ";"Yes ";"Part I";""
"Brenda ";"F";"Killed(offscreen), thrown through window ";"Blunt force trauma";"Pamela Voorhees ";"Yes ";"Part I";""
"Steve Christy ";"M";"Knifed in stomach and chest ";"Stabbed";"Pamela Voorhees ";"Yes ";"Part I";""
"Bill ";"M";"Throat slit, pinned to door with arrows through groin/chest/throat/eye ";"Stabbed";"Pamela Voorhees ";"No ";"Part I";""
"Pamela Voorhees ";"F";"Hit with fire poker/ end of gun/ frying pan/ oar/ decapitated with machete ";"Vital parts removed";"Alice Hardy ";"Yes ";"Part I";""
"Alice Hardy ";"F";"Ice pick in temple ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 2";""
"Crazy Ralph ";"M";"Garrotted with barbed wire ";"Vital parts removed";"Jason Voorhees ";"Yes ";"Part 2";""
"Policeman ";"M";"Hammer claw in back of head ";"Blunt force trauma";"Jason Voorhees ";"Yes ";"Part 2";""
"Scott ";"M";"Hung upside-down from tree by snare, throat slit with machete ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 2";""
"Terry ";"M";"Knifed ";"Stabbed";"Jason Voorhees ";"No ";"Part 2";""
"Mark ";"M";"Hit in face with machete, falls down stairs ";"Blunt force trauma";"Jason Voorhees ";"Yes ";"Part 2";""
"Jeff";"M";"Impaled through back/chest/bed with spear ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 2";""
"Sandra Dyer ";"F";"Impaled through back/chest/bed with spear ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 2";""
"Vickie ";"F";"Leg slashed/stomach knifed ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 2";""
"Paul Holt ";"M";"Slashed his head ";"Stabbed";"Jason Voorhees ";"No ";"Part 2";""
"Harold ";"M";"Meat cleaver in chest ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 3";""
"Edna ";"F";"Knitting needle in back of head ";"Stabbed";"Jason Voorhees ";"Yes ";"Part 3";""
"Fox ";"M";"Pinned to rafter with pitchfork through throat ";"Stabbed";"Jason Voorhees ";"No ";"Part 3";""
