lengte	gewicht
157.57	62.62
166.74	66.55
172.3	60.43
175.31	74.58
161.77	64.09
168.61	66.39
169.99	73.4
167.89	66.56
157.53	63.42
161.72	59.88
180.25	92.1
165.12	67.97
162.72	55.39
162.03	63.54
171.42	64.46
175.66	74.38
161.53	59.42
179.52	87.94
174.24	67.34
150.93	55.23
157.72	60.74
164.84	60.99
169.49	61.44
190.35	82.78
157.62	53.04
163.74	69.86
178.88	85.74
175.79	67.73
170.98	66.08
177.79	61.37
162.81	57.37
164.15	54.96
188.53	71.02
162.71	65.66
159.45	68.59
175.7	67.16
167.75	62.76
151.52	52.84
161.64	61.31
163.94	59.6
168.75	66.8
177.69	67.38
159.29	62.2
166.44	65.11
160.73	56.46
160.47	61.44
188.32	83.21
163.79	64.17
158.35	66.78
156.69	50.35
160.18	51.29
165.74	50.95
